id,title,description,link,image_link,price,availability,condition,brand,identifier_exists,product_type
"v1|318503196868|0","Lupin the Third & Jigen 7 inch Full Action Figure Set Banpresto Japan Vintage","Lupin the Third & Jigen 7 inch Full Action Figure Set Banpresto Japan Vintage — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318503196868-0.html","https://i.ebayimg.com/images/g/z2sAAeSw9JZqM~EI/s-l225.jpg","29.49 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318648612993|0","Pokemon Card Goldeen 084/081 M5 Abyss Eye AR Japanese","Pokemon Card Goldeen 084/081 M5 Abyss Eye AR Japanese — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318648612993-0.html","https://i.ebayimg.com/images/g/CSEAAeSw5oRqaUg3/s-l225.jpg","5.00 USD","in stock","used","Sanuki Trading","no","Trading Cards"
"v1|318640907738|0","ONE PIECE Maximatic Plus Monkey D Luffy II Figure Banpresto Prize Japan NEW","ONE PIECE Maximatic Plus Monkey D Luffy II Figure Banpresto Prize Japan NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318640907738-0.html","https://i.ebayimg.com/images/g/U00AAeSw4VVqZyXN/s-l225.jpg","30.00 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318483700608|0","Dragon Ball Super Golden Frieza Figure Solid Edge Works THE Departure Banpresto","Dragon Ball Super Golden Frieza Figure Solid Edge Works THE Departure Banpresto — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318483700608-0.html","https://i.ebayimg.com/images/g/h-oAAeSw269qNOz~/s-l225.jpg","24.00 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318494096579|0","One Piece Captain John Battle Record Collection Banpresto Figure Japan New Seale","One Piece Captain John Battle Record Collection Banpresto Figure Japan New Seale — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318494096579-0.html","https://i.ebayimg.com/images/g/qxoAAeSwlnZqOnWr/s-l225.jpg","30.00 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318476486799|0","One Piece Rob Lucci Awakening Special Ver King of Artist Figure Banpresto","One Piece Rob Lucci Awakening Special Ver King of Artist Figure Banpresto — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318476486799-0.html","https://i.ebayimg.com/images/g/jRcAAeSwV0tqNQTk/s-l225.jpg","29.88 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318496759115|0","One Piece Mega World Collectable Figure Kaido of the Beasts Set of 2 Banpresto","One Piece Mega World Collectable Figure Kaido of the Beasts Set of 2 Banpresto — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318496759115-0.html","https://i.ebayimg.com/images/g/rXAAAeSwaZBp4c9y/s-l225.jpg","49.99 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318505436785|0","ONE PIECE Grandista Gear 5 II Luffy & Jewelry Bonney Figure Set New Japan","ONE PIECE Grandista Gear 5 II Luffy & Jewelry Bonney Figure Set New Japan — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318505436785-0.html","https://i.ebayimg.com/images/g/oZYAAeSwZjlqPcrV/s-l225.jpg","48.00 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318476111203|0","Dragon Ball Super Solid Edge Works Ultra Instinct Goku Figure Banpresto Japan","Dragon Ball Super Solid Edge Works Ultra Instinct Goku Figure Banpresto Japan — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318476111203-0.html","https://i.ebayimg.com/images/g/l-QAAeSwhhBqNOxc/s-l225.jpg","32.49 USD","in stock","new","Sanuki Trading","no","Anime Figures"
"v1|318617657953|0","Pokemon Card Power Tablet UR 126/100 s8 Fusion Arts Gold Secret Rare Japanese","Pokemon Card Power Tablet UR 126/100 s8 Fusion Arts Gold Secret Rare Japanese — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318617657953-0.html","https://i.ebayimg.com/images/g/HnYAAeSwARRqWkAq/s-l225.jpg","3.50 USD","in stock","used","Sanuki Trading","no","Trading Cards"
